wavelength (nm),absorption (m^-1),scattering (m^-1)
974,48.6399,0.000171168
975,48.6998,0.000170428
976,48.6689,0.000169693
977,48.6389,0.000168962
978,48.5694,0.000168235
979,48.4092,0.000167512
980,48.2138,0.000166792
981,48.0396,0.000166076
982,47.8597,0.000165365
983,47.6373,0.000164657
984,47.3793,0.000163952
985,47.0944,0.000163252
986,46.7734,0.000162555
987,46.4093,0.000161862
988,46.0428,0.000161172
989,45.7021,0.000160487
990,45.3151,0.000159804
991,44.8213,0.000159126
992,44.337,0.000158451
993,43.9707,0.000157779
994,43.6157,0.000157111
995,43.1562,0.000156447
996,42.6449,0.000155786
997,42.1513,0.000155128
998,41.678,0.000154474
999,41.2102,0.000153824
1000,40.715,0.000153176
1001,40.17,0.000152533
1002,39.6305,0.000151892
1003,39.1477,0.000151255
1004,38.6754,0.000150621
1005,38.1591,0.000149991
1006,37.5992,0.000149363
1007,37.0061,0.000148739
1008,36.4026,0.000148119
1009,35.8069,0.000147501
1010,35.2107,0.000146887
1011,34.6071,0.000146275
1012,34.0236,0.000145667
1013,33.4855,0.000145063
1014,32.965,0.000144461
1015,32.4343,0.000143862
1016,31.9107,0.000143266
1017,31.4059,0.000142674
1018,30.8604,0.000142084
1019,30.2225,0.000141498
1020,29.5679,0.000140914
1021,28.9736,0.000140334
1022,28.4034,0.000139756
1023,27.8154,0.000139182
1024,27.2435,0.00013861
1025,26.7229,0.000138041
1026,26.2106,0.000137476
1027,25.657,0.000136913
1028,25.0594,0.000136353
1029,24.4408,0.000135795
1030,23.9127,0.000135241
1031,23.5719,0.000134689
1032,23.3133,0.000134141
1033,22.9917,0.000133595
1034,22.5082,0.000133051
1035,21.976,0.000132511
1036,21.5148,0.000131973
1037,21.0853,0.000131438
1038,20.6353,0.000130905
1039,20.1981,0.000130376
1040,19.811,0.000129848
1041,19.435,0.000129324
1042,19.0366,0.000128802
1043,18.6749,0.000128283
1044,18.408,0.000127766
1045,18.1776,0.000127252
1046,17.9005,0.000126741
1047,17.5243,0.000126232
1048,17.1469,0.000125726
1049,16.8668,0.000125222
1050,16.6355,0.000124721
1051,16.3901,0.000124222
1052,16.126,0.000123725
1053,15.856,0.000123231
1054,15.6185,0.00012274
1055,15.4489,0.000122251
1056,15.3248,0.000121764
1057,15.2176,0.00012128
1058,15.1025,0.000120798
1059,14.9515,0.000120319
1060,14.7505,0.000119842
1061,14.568,0.000119367
1062,14.4704,0.000118895
1063,14.4224,0.000118425
1064,14.3792,0.000117957
1065,14.3285,0.000117491
1066,14.2639,0.000117028
1067,14.184,0.000116567
1068,14.1195,0.000116109
1069,14.0978,0.000115652
1070,14.0931,0.000115198
1071,14.0777,0.000114746
1072,14.0591,0.000114296
1073,14.0537,0.000113849
1074,14.0781,0.000113403
1075,14.1445,0.00011296
1076,14.2551,0.000112519
1077,14.3516,0.00011208
1078,14.3815,0.000111643
1079,14.3863,0.000111208
1080,14.4281,0.000110776
1081,14.5562,0.000110345
1082,14.7498,0.000109917
1083,14.9764,0.00010949
1084,15.1863,0.000109066
1085,15.3399,0.000108644
1086,15.466,0.000108223
1087,15.6068,0.000107805
1088,15.7972,0.000107389
1089,16.0397,0.000106974
1090,16.3236,0.000106562
1091,16.5862,0.000106152
1092,16.7728,0.000105744
1093,16.9274,0.000105337
1094,17.1151,0.000104933
1095,17.3925,0.00010453
1096,17.7718,0.00010413
1097,18.2386,0.000103731
1098,18.655,0.000103334
1099,18.8982,0.000102939
1100,19.0631,0.000102546
1101,19.3964,9.58E-05
1102,19.6667,9.54E-05
1103,19.9349,9.50E-05
1104,20.2489,9.46E-05
1105,20.5737,9.43E-05
1106,20.9127,9.39E-05
1107,21.2239,9.35E-05
1108,21.5529,9.32E-05
1109,21.9086,9.28E-05
1110,22.2636,9.25E-05
1111,22.6944,9.21E-05
1112,22.9628,9.17E-05
1113,23.0789,9.14E-05
